Pathway	GO-term
AMMASSIM-PWY	GO:0006807
AMMASSIM-PWY	GO:0055114
AMMASSIM-PWY	GO:0006537
AMMASSIM-PWY	GO:0016638
AMMASSIM-PWY	GO:0015930
AMMASSIM-PWY	GO:0003824
AMMASSIM-PWY	GO:0051538
AMMASSIM-PWY	GO:0019676
AMMASSIM-PWY	GO:0006541
AMMASSIM-PWY	GO:0016874
AMMASSIM-PWY	GO:0042802
AMMASSIM-PWY	GO:0005524
AMMASSIM-PWY	GO:0000166
AMMASSIM-PWY	GO:0004356
AMMASSIM-PWY	GO:0016020
AMMASSIM-PWY	GO:0005737
AMMASSIM-PWY	GO:0006542
AMMASSIM-PWY	GO:0009314
AMMASSIM-PWY	GO:0019740
AMMOXID-PWY	GO:0005506
AMMOXID-PWY	GO:0046872
AMMOXID-PWY	GO:0005509
AMMOXID-PWY	GO:0016491
AMMOXID-PWY	GO:0016966
AMMOXID-PWY	GO:0042279
AMMOXID-PWY	GO:0020037
AMMOXID-PWY	GO:0042597
AMMOXID-PWY	GO:0030288
AMMOXID-PWY	GO:0042128
AMMOXID-PWY	GO:0006807
AMMOXID-PWY	GO:0055114
AMMOXID-PWY	GO:0019645
AMMOXID-PWY	GO:0005829
AMMOXID-PWY	GO:0016020
AMMOXID-PWY	GO:0009055
ANAEROFRUCAT-PWY	GO:0016301
ANAEROFRUCAT-PWY	GO:0016740
ANAEROFRUCAT-PWY	GO:0005524
ANAEROFRUCAT-PWY	GO:0004396
ANAEROFRUCAT-PWY	GO:0016020
ANAEROFRUCAT-PWY	GO:0006096
ANAEROFRUCAT-PWY	GO:0016491
ANAEROFRUCAT-PWY	GO:0004365
ANAEROFRUCAT-PWY	GO:0005737
ANAEROFRUCAT-PWY	GO:0000287
ANAEROFRUCAT-PWY	GO:0004743
ANAEROFRUCAT-PWY	GO:0006633
ANAEROFRUCAT-PWY	GO:0005829
ANAEROFRUCAT-PWY	GO:0003872
ANAEROFRUCAT-PWY	GO:0005945
ANAEROFRUCAT-PWY	GO:0004340
ANAEROFRUCAT-PWY	GO:0005741
ANAEROFRUCAT-PWY	GO:0006007
ANAEROFRUCAT-PWY	GO:0006006
ANAEROFRUCAT-PWY	GO:0051726
ANAEROFRUCAT-PWY	GO:0008443
ANAEROFRUCAT-PWY	GO:0006110
ANAEROFRUCAT-PWY	GO:0005977
ANAEROFRUCAT-PWY	GO:0016787
ANAEROFRUCAT-PWY	GO:0016853
ANAEROFRUCAT-PWY	GO:0004082
ANAEROFRUCAT-PWY	GO:0004083
ANAEROFRUCAT-PWY	GO:0005975
ANAEROFRUCAT-PWY	GO:0007585
ANAEROFRUCAT-PWY	GO:0004619
ANAEROFRUCAT-PWY	GO:0008152
ANAEROFRUCAT-PWY	GO:0006941
ANAEROFRUCAT-PWY	GO:0016829
ANAEROFRUCAT-PWY	GO:0004332
ANAEROFRUCAT-PWY	GO:0006000
ANAEROFRUCAT-PWY	GO:0004634
ANAEROFRUCAT-PWY	GO:0000015
ANAEROFRUCAT-PWY	GO:0003714
ANAEROFRUCAT-PWY	GO:0003700
ANAEROFRUCAT-PWY	GO:0003677
ANAEROFRUCAT-PWY	GO:0000122
ANAEROFRUCAT-PWY	GO:0004807
ANAEROFRUCAT-PWY	GO:0006098
ANAEROFRUCAT-PWY	GO:0006094
ANAEROFRUCAT-PWY	GO:0005125
ANAEROFRUCAT-PWY	GO:0008083
ANAEROFRUCAT-PWY	GO:0004347
ANAEROFRUCAT-PWY	GO:0006959
ANAEROFRUCAT-PWY	GO:0007399
ANAEROFRUCAT-PWY	GO:0007599
ANAGLYCOLYSIS-PWY	GO:0005829
ANAGLYCOLYSIS-PWY	GO:0016301
ANAGLYCOLYSIS-PWY	GO:0016740
ANAGLYCOLYSIS-PWY	GO:0005524
ANAGLYCOLYSIS-PWY	GO:0004396
ANAGLYCOLYSIS-PWY	GO:0016020
ANAGLYCOLYSIS-PWY	GO:0006096
ANAGLYCOLYSIS-PWY	GO:0016491
ANAGLYCOLYSIS-PWY	GO:0004365
ANAGLYCOLYSIS-PWY	GO:0005737
ANAGLYCOLYSIS-PWY	GO:0000287
ANAGLYCOLYSIS-PWY	GO:0004743
ANAGLYCOLYSIS-PWY	GO:0006633
ANAGLYCOLYSIS-PWY	GO:0003872
ANAGLYCOLYSIS-PWY	GO:0005945
ANAGLYCOLYSIS-PWY	GO:0004340
ANAGLYCOLYSIS-PWY	GO:0005741
ANAGLYCOLYSIS-PWY	GO:0006007
ANAGLYCOLYSIS-PWY	GO:0006006
ANAGLYCOLYSIS-PWY	GO:0051726
ANAGLYCOLYSIS-PWY	GO:0008443
ANAGLYCOLYSIS-PWY	GO:0006110
ANAGLYCOLYSIS-PWY	GO:0005977
ANAGLYCOLYSIS-PWY	GO:0016787
ANAGLYCOLYSIS-PWY	GO:0016853
ANAGLYCOLYSIS-PWY	GO:0004082
ANAGLYCOLYSIS-PWY	GO:0004083
ANAGLYCOLYSIS-PWY	GO:0005975
ANAGLYCOLYSIS-PWY	GO:0007585
ANAGLYCOLYSIS-PWY	GO:0004619
ANAGLYCOLYSIS-PWY	GO:0008152
ANAGLYCOLYSIS-PWY	GO:0006941
ANAGLYCOLYSIS-PWY	GO:0016829
ANAGLYCOLYSIS-PWY	GO:0004332
ANAGLYCOLYSIS-PWY	GO:0006000
ANAGLYCOLYSIS-PWY	GO:0004634
ANAGLYCOLYSIS-PWY	GO:0000015
ANAGLYCOLYSIS-PWY	GO:0003714
ANAGLYCOLYSIS-PWY	GO:0003700
ANAGLYCOLYSIS-PWY	GO:0003677
ANAGLYCOLYSIS-PWY	GO:0000122
ANAGLYCOLYSIS-PWY	GO:0004807
ANAGLYCOLYSIS-PWY	GO:0006098
ANAGLYCOLYSIS-PWY	GO:0006094
ANAGLYCOLYSIS-PWY	GO:0005125
ANAGLYCOLYSIS-PWY	GO:0008083
ANAGLYCOLYSIS-PWY	GO:0004347
ANAGLYCOLYSIS-PWY	GO:0006959
ANAGLYCOLYSIS-PWY	GO:0007399
ANAGLYCOLYSIS-PWY	GO:0007599
ANAGLYCOLYSIS-PWY	GO:0046872
ANAGLYCOLYSIS-PWY	GO:0005515
ANAGLYCOLYSIS-PWY	GO:0003824
ANAGLYCOLYSIS-PWY	GO:0000166
ANAGLYCOLYSIS-PWY	GO:0005739
ANAGLYCOLYSIS-PWY	GO:1902600
ANAGLYCOLYSIS-PWY	GO:0061615
ANAGLYCOLYSIS-PWY	GO:0051453
ANAGLYCOLYSIS-PWY	GO:0016310
ANAGLYCOLYSIS-PWY	GO:0006002
ANAGLYCOLYSIS-PWY	GO:0003729
ANAGLYCOLYSIS-PWY	GO:0070072
ANAGLYCOLYSIS-PWY	GO:0007035
ANAPHENOXI-PWY	GO:0005759
ANAPHENOXI-PWY	GO:0005829
ARABCAT-PWY	GO:0016773
ARABCAT-PWY	GO:0016740
ARABCAT-PWY	GO:0016301
ARABCAT-PWY	GO:0005524
ARABCAT-PWY	GO:0000166
ARABCAT-PWY	GO:0008741
ARABCAT-PWY	GO:0005737
ARABCAT-PWY	GO:0046835
ARABCAT-PWY	GO:0016052
ARABCAT-PWY	GO:0005975
ARABCAT-PWY	GO:0016310
ARABCAT-PWY	GO:0019572
ARABCAT-PWY	GO:0019568
ARABCAT-PWY	GO:0019569
ARABCAT-PWY	GO:0016832
ARABCAT-PWY	GO:0016853
