#PathwayID	Number
PWY-7576	1.19.6.1
PWY-6383	2.5.1.68
PWY-5971	2.3.1.41
PWY-5971	2.3.1.179
PWY-8032	2.3.1
PWY-6391	1.1.1
PWY-7668	6.3.2
PWY-6533	3.5.1.123
PWY-7782	2.3.1.51
PWY-5973	4.2.1.59
PWY-5826	4.1.1
PWY-7337	1.3.3.6
PWY-5469	1.14.19.74
PWY0-1319	2.3.1.15
PWY-6829	2.1.1.202
PWY0-1600	1.8.4.16
PWY-8039	2.4.1
PWY-8086	2.3.1.54
PWY4LZ-257	2.3.1.54
PWY-5493	2.3.1.54
FERMENTATION-PWY	2.3.1.54
PWY-5485	2.3.1.54
PWY-5480	2.3.1.54
PWY-7745	2.4.1.M5
PWY-7679	2.3.1
PWY-8045	2.3.1
PWY-5307	2.3.1
PWYG-321	2.3.1
PWY-7693	1.2.98
PWY-7694	1.2.98
PWY-6501	1.1.1.203
PWY-6423	3.4.11
PWY-I9	2.1.1
PWY-6154	2.1.1
PWY-6153	2.1.1
METHIONINE-DEG1-PWY	2.1.1
METHFORM-PWY	2.8.4.1
PWY-7858	1.1.1.100
PWY0-862	1.1.1.100
GLYCOLATEMET-PWY	4.1.1.47
PWY-7767	2.8.3.24
PWY0-1546	5.1.1.20
PWY-6519	4.2.1.59
PWY-7543	6.3.2
PWY-8049	4.2.1.M29
PWY-6047	1.14.13.131
PWY-6675	2.8.1
PWY-6398	1.14.14.1
PWY-7737	2.3.1
PWY-5839	2.5.1.74
PWY-6518	1.1.1.238
PWYG-321	1.3.1.118
PWY-7339	4.2.1.119
PWY-5473	2.3.1.M35
PWY-7742	2.3.1.292
PWY-6261	2.4.1.17
PWYG-321	2.3.1.294
PWY-8110	1.1.99.M7
P101-PWY	2.3.1.178
PWY-7746	2.3.1.284
PWY-7901	4.4.1.13
PWY-1801	3.1.2.12
PWY-5320	2.4.1.237
PWYG-321	2.3.1.293
PWY-5049	1.1.1.237
PWY-8086	5.4.99.2
P108-PWY	5.4.99.2
PWY-6728	5.4.99.2
PWY-5743	5.4.99.2
PWY-5789	5.4.99.2
PWY-7854	5.4.99.2
PWY-7384	5.4.99.2
PROPIONMET-PWY	5.4.99.2
PWY0-43	5.4.99.2
PWY-6992	1.14.14.1
PWY-7657	1.1.1.384
PWY-6973	1.1.1.384
PWY-6974	1.1.1.384
PWY-6808	1.1.1.384
PWY-7885	2.4.1.M21
PWY-7429	1.20.9.1
RHAMCAT-PWY	5.1.3.32
PWY-7045	1.1.1
PWY-7547	1.3.8.14
PWY-2881	2.4.1
PWY-6055	4.1.1.M23
PWYG-321	2.3.1.293
PWY-8191	1.1.1.270
PWY-8146	1.8.4.16
PWY-7224	2.7.1.74
PWY-7224	2.7.1.76
PWY-7224	2.7.1.145
PWY-6397	2.4.1
PWY-7042	5.3.3
PWY-5912	2.6.1.80
PWY-7219	4.3.2.2
PWY1A0-6120	2.3.1.180
PWY-4381	2.3.1.180
PWY-7446	5.3.1.31
PWY0-1337	2.3.1.16
PWYG-321	2.3.1.294
PWY-5846	1.14.19
PWY-6804	2.7.8
PWY-5477	2.3.1
PWYG-321	2.3.1.41
PWY-4361	1.13.11.54
PWY-8173	1.1.1.100
CALVIN-PWY	3.1.3.37
PWY-7241	5.3.3
PWY-7889	2.8.1.14
PWY4FS-11	1.3.2.M1
PWY-8142	1.3.2.M1
PWY-5339	2.4.1
PWY-601	4.4.1.M2
PWY-7161	2.1.1
PWY-7157	2.1.1
PWY-7396	1.1.1.1
PWY-7111	1.1.1.1
PWY-5057	1.1.1.1
PWYG-321	2.3.1.294
PWY-7375	2.7.7.50
PWY-8173	1.1.1.100
P164-PWY	3.5.4.3
PWY-5497	3.5.4.3
PWY-6608	3.5.4.3
PWY-6606	3.5.4.3
PWY-7907	2.3.1
PWY-7892	2.8.1
PWY3O-4107	2.3.1.286
PWY1A0-6120	6.4.1
PWYG-321	4.2.1.M2
PWY-8174	4.2.1.59
PWY-8193	2.4.1.el
PWY-7380	6.3.3.3
PWY0-1507	6.3.3.3
PWY-7931	3.1.2
PWY-7831	2.4.1.37
PWY-7457	1.8.5.6
PWY-6352	2.7.1.154
ARABCAT-PWY	5.3.1.4
PWY-5855	1.14.13.M56
PWY-5873	1.14.13.M56
PWY-8174	1.3.1.9
LEUSYN-PWY	2.3.3.13
PWY-6871	2.3.3.13
PWY-6808	2.6.1.110
PWY-8122	2.4.1.M64
PWY-7533	3.4.13.19
PWY-5497	1.17.1.4
PWY-321	1.11.2.3
PWY-6672	2.3.1
PWY-7995	1.14.14.82
PWY-5060	1.14.14.82
PWY-8175	1.3.1.10
PWY-7994	3.3.2
SHIKIMATEDEG-PWY	1.1.5.8
PWY-622	2.4.1.242
PWY-782	1.14.19.23
PWY-5994	2.3.1.85
PWY-5994	2.3.1.86
PWY-7160	2.1.1
PWY-8175	2.3.1.179
PWY-7578	4.4.1.31
PWY-7946	5.5.1.M10
PWY-7230	2.1.1.64
PWY3O-19	2.1.1.64
PWY-7627	1.3.98.M5
PWY-5994	2.3.1.85
PWY-5994	2.3.1.86
PWY-7897	2.4.1.360
PWYG-321	2.3.1.86
PWY-7727	4.2.1.134
PWY-7606	4.2.1.134
PWY-7053	4.2.1.134
PWY-7984	3.3.2
PWY-7612	2.3.1
FASYN-ELONG-PWY	1.3.1.9
PWY-2942	1.4.1.16
PWY-5276	1.8.2.1
PWY-7831	2.8.2
PWY-5067	2.4.1.186
PWY-321	1.14.14.80
PWY-7450	2.3.1
PWY-7794	3.1.1.102
PWY-5856	2.1.1.201
PWY-5871	2.1.1.201
PWY-7226	1.17.4.1
PWY-7222	1.17.4.1
PWY-5162	4.2.1.80
PWY-6815	3.2.1.159
PWY-7184	1.17.4.1
PWY-6545	1.17.4.1
PWY0-166	1.17.4.1
PWY-8125	4.1.1.M22
PWY-5260	2.1.1.251
PWY-6286	1.14.99.M7
PWY-8012	1.14.13.M69
PWY-5818	2.6.1.M1
KDO-LIPASYN-PWY	2.3.1.241
KDO-NAGLIPASYN-PWY	2.3.1.241
PWY-7377	2.1.1.289
PWY1A0-6120	1.1.1.100
PWY66-430	1.1.1.100
PWY-7388	1.1.1.100
PWY-5971	1.1.1.100
PWY-3061	1.1.1.207
PWY1A0-6120	1.1.1.100
PWY66-430	1.1.1.100
PWY-7388	1.1.1.100
PWY-5971	1.1.1.100
PWY-7689	1.14.13
PWY-762	1.14.19.35
PWY-6518	1.1.1.391
PWY-7664	1.1.1.100
PWY-5082	4.1.1.1
KDO-NAGLIPASYN-PWY	2.3.1.242
PWY-4722	3.5.1.59
PWY-7948	2.7.1.M16
PWY66-430	1.3.1.39
PWY66-430	1.3.1.10
PWY-6802	1.1.1.1
PWY3O-4108	1.1.1.1
HISTSYN-PWY	3.5.4.19
PWY-2467	4.2.1
PWY-7667	6.3.2
PWY0-1479	3.1.26.12
PWY-7057	2.4.1.104
PWY-6973	1.1.1
PWY-5319	3.1.1.35
PWY-7673	6.3.2
PWY-7836	2.4.99.8
PWY-6282	4.2.1.59
PWY-6080	1.17.99
PWY1A0-6120	1.3.1.9
PWY-5971	1.3.1.9
PWY-5661	2.7.7.34
PWY-7458	2.3.1
PWY-5873	1.14.13.M81
PWY-7690	6.3.2
PWY-7357	3.5.99
